state,stusps,statefp,year,alf_spei_mean,alf_acres,irrigated_acres,non_irrigated_acres,alf_production,irrigated_production,non_irrigated_production,irr_share,alf_yield,irr_yield,non_irr_yield,haylage_acres,haylage_production,haylage_irrigated_acres,haylage_irrigated_ops,Export_Value,alf_price_usd_ton,hay_alf_usd_value,alf_sales_tons,irr_yield_tons_per_acre_method_gravity,irr_yield_tons_per_acre_method_pressure,non_irr_yield_tons_per_acre,irr_yield_tons_per_acre_general,irrigated_acres_method_gravity,irrigated_acres_method_pressure,irrigated_acres_source_on_farm_surface,irrigated_acres_total,non_irrigated_acres,water_applied_af_acre_method_gravity,water_applied_af_acre_method_pressure,water_applied_af_acre_general,irrigated_acres_source_off_farm,irrigated_acres_source_ground,hay_alf_usd,export_usd,avg_exp_rate,west,midwest
Arizona,AZ,04,2011,-0.700233494,250000,NA,NA,2075000,NA,NA,0,8.3,NA,NA,NA,NA,NA,NA,0,225,466875000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,466875000,0,0,1,0
Arizona,AZ,04,2012,-0.97507473,522457,270948,251509,4117479,NA,NA,0.5186034448768032,8.4,NA,NA,43753,161002,43753,109,0,224,470400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470400000,0,0,1,0
Arizona,AZ,04,2013,-1.058432196,250000,NA,NA,2025000,NA,NA,0,8.1,NA,NA,NA,NA,NA,NA,0,201,407025000,NA,8.4,7.7,NA,8.3,210572,59877,27650,270449,NA,5.5,5.2,5.4,202215,76965,407025000,0,0,1,0
Arizona,AZ,04,2014,-0.87578517,260000,NA,NA,2210000,NA,NA,0,8.5,NA,NA,NA,NA,NA,NA,0,218,481780000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481780000,0,0,1,0
Arizona,AZ,04,2015,-0.718170258,300000,NA,NA,2520000,NA,NA,0,8.4,NA,NA,NA,NA,NA,NA,7,162,408240000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408240000,7000,1.7146776406035666e-5,1,0
Arizona,AZ,04,2016,-1.281552521,285000,NA,NA,2451000,NA,NA,0,8.6,NA,NA,NA,NA,NA,NA,833,152,372552000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372552000,833000,0.002235929,1,0
Arizona,AZ,04,2017,-1.28851847,587903,302903,285000,4842105,NA,NA,0.5152261512528428,8.4,NA,NA,50289,210624,50289,101,6088,172,411768000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411768000,6088000,0.014785024576946242,1,0
Arizona,AZ,04,2018,-1.318936574,260000,NA,NA,2158000,NA,NA,0,8.3,NA,NA,NA,NA,NA,NA,3162,209,451022000,NA,8.2,9.1,NA,8.3,258913,45239,15411,304152,NA,5.8,5.7,5.8,231572,102494,451022000,3162000,0.007010744,1,0
Arizona,AZ,04,2019,-0.519709243,290000,NA,NA,2407000,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,3602,205,493435000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,493435000,3602000,0.007299847,1,0
Arizona,AZ,04,2020,-1.472284308,260000,NA,NA,2210000,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,6227,183,404430000,1805554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404430000,6227000,0.015396978463516554,1,0
Arizona,AZ,04,2021,-0.992955262,290000,NA,NA,2407000,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,928,214,515098000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515098000,928000,0.001801599,1,0
Arizona,AZ,04,2022,-1.318700913,584623,304623,280000,4536787,NA,NA,0.5210588704173459,8.2,NA,NA,54832,153633,54832,82,18,324,743904000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,743904000,18000,2.4196670538133953e-5,1,0
Arizona,AZ,04,2023,-0.865621982,280000,NA,NA,2324000,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,903,270,627480000,NA,NA,NA,NA,NA,308047,61283,29135,369330,NA,5.3,5,5.2,177402,170279,627480000,903000,0.00143909,1,0
Arizona,AZ,04,2024,-1.419386908,270000,NA,NA,1971000,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,766,186,366606000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366606000,766000,0.002089437,1,0
Arizona,AZ,04,2025,-1.256796464,280000,NA,NA,2072000,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,27,193,399896000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399896000,27000,6.751755456418668e-5,1,0
Arkansas,AR,05,2005,-0.663412437,20000,NA,NA,46000,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,0,147,6762000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6762000,0,0,0,0
Arkansas,AR,05,2006,-0.683621877,15000,NA,NA,54000,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,0,164,8856000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8856000,0,0,0,0
Arkansas,AR,05,2007,-0.886964759,26732,932,25800,67647,NA,NA,0.034864581774652105,2.6,NA,NA,405,1170,NA,NA,0,194,7566000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7566000,0,0,0,0
Arkansas,AR,05,2008,0.586373143,15000,NA,NA,53000,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,0,150,7950000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7950000,0,0,0,0
Arkansas,AR,05,2009,1.4655648,15000,NA,NA,51000,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,0,115,5865000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5865000,0,0,0,0
Arkansas,AR,05,2010,-0.790012069,10000,NA,NA,35000,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,0,136,4760000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4760000,0,0,0,0
Arkansas,AR,05,2011,0.314139829,10000,NA,NA,23000,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,0,185,4255000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4255000,0,0,0,0
Arkansas,AR,05,2012,-1.584883845,14943,0,14943,33532,NA,NA,0,2.2,NA,NA,139,112,NA,NA,96,227,4994000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4994000,96000,0.019223068,0,0
Arkansas,AR,05,2013,0.353202228,5000,NA,NA,17000,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,41,200,3400000,NA,NA,NA,2.8,NA,NA,NA,NA,NA,1260,NA,NA,NA,NA,NA,3400000,41000,0.012058823529411764,0,0
Arkansas,AR,05,2014,0.790837532,5000,NA,NA,18000,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,61,200,3600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600000,61000,0.016944444444444446,0,0
Arkansas,AR,05,2015,0.618971635,5000,NA,NA,14000,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,0,190,2660000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2660000,0,0,0,0
Arkansas,AR,05,2016,1.194743381,4000,NA,NA,14000,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,0,180,2520000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2520000,0,0,0,0
Arkansas,AR,05,2017,0.721167253,5492,112,5380,17491,NA,NA,0.020393299,3.6,NA,NA,552,2850,NA,NA,0,188,2068000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2068000,0,0,0,0
Arkansas,AR,05,2018,0.149080947,3000,NA,NA,8000,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,0,192,1536000,NA,1.8,6,NA,5.3,60,300,360,360,NA,0.3,0.3,0.3,NA,NA,1536000,0,0,0,0
Arkansas,AR,05,2019,1.168145893,3000,NA,NA,10000,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,0,192,1920000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1920000,0,0,0,0
Arkansas,AR,05,2020,1.258139987,3000,NA,NA,10000,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,0,192,1920000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1920000,0,0,0,0
Arkansas,AR,05,2021,0.549907995,3000,NA,NA,10000,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,0,200,2000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000000,0,0,0,0
Arkansas,AR,05,2022,0.728839869,4180,98,4082,12867,NA,NA,0.023444976076555026,2.8,NA,NA,702,943,NA,NA,0,217,1736000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1736000,0,0,0,0
Arkansas,AR,05,2023,0.331321867,2000,NA,NA,6000,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,0,228,1368000,NA,NA,NA,NA,NA,70,360,430,430,NA,NA,NA,0.2,NA,NA,1368000,0,0,0,0
Arkansas,AR,05,2024,0.322081925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
Arkansas,AR,05,2025,0.402162848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
California,CA,06,2005,0.026547511,1040000,NA,NA,7176000,NA,NA,NA,6.9,NA,NA,95000,732000,NA,NA,7210,136,975936000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,975936000,7210000,0.00738778,1,0
California,CA,06,2006,-0.387094829,1100000,NA,NA,7480000,NA,NA,NA,6.8,NA,NA,80000,584000,NA,NA,5737,116,867680000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,867680000,5737000,0.006611885,1,0
California,CA,06,2007,-0.902868507,1976982,963086,1013896,14185014,NA,NA,0.4871496048016623,7.2,NA,NA,167812,1105721,78944,343,7717,165,1176120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1176120000,7717000,0.006561405,1,0
California,CA,06,2008,-1.114008423,1030000,NA,NA,7210000,NA,NA,NA,7,NA,NA,90000,432000,NA,NA,10807,204,1470840000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470840000,10807000,0.007347502,1,0
California,CA,06,2009,-0.788782194,1000000,NA,NA,7000000,NA,NA,NA,7,NA,NA,60000,540000,NA,NA,6199,107,749000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,749000000,6199000,0.008276368,1,0
California,CA,06,2010,0.415499623,930000,NA,NA,6324000,NA,NA,NA,6.8,NA,NA,70000,455000,NA,NA,18941,133,841092000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,841092000,18941000,0.022519534,1,0
California,CA,06,2011,0.530672698,880000,NA,NA,6072000,NA,NA,NA,6.9,NA,NA,60000,468000,NA,NA,20169,239,1451208000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1451208000,20169000,0.013898076636843237,1,0
California,CA,06,2012,-0.398368739,1774137,831858,942279,11637210,NA,NA,0.46888036267774136,6.7,NA,NA,161573,1100353,76306,357,33224,210,1266300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1266300000,33224000,0.026237068625128326,1,0
California,CA,06,2013,-1.27703855,830000,NA,NA,5810000,NA,NA,NA,7,NA,NA,75000,660000,NA,NA,33828,206,1196860000,NA,6.8,6.3,1.7,6.7,482386,181932,136588,664318,2100,4.1,3.1,3.8,329872,350343,1196860000,33828000,0.028263957355079125,1,0
California,CA,06,2014,-1.315256308,825000,NA,NA,5693000,NA,NA,NA,6.9,NA,NA,65000,540000,NA,NA,36208,244,1389092000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1389092000,36208000,0.026065948115747552,1,0
California,CA,06,2015,-1.141385301,790000,NA,NA,5451000,NA,NA,NA,6.9,NA,NA,70000,455000,NA,NA,34258,181,986631000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,986631000,34258000,0.034722201106594054,1,0
California,CA,06,2016,-0.86028077,720000,NA,NA,5040000,NA,NA,NA,7,NA,NA,100000,620000,NA,NA,34736,155,781200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,781200000,34736000,0.044464926,1,0
California,CA,06,2017,-1.108718055,1471596,727299,744297,9416210,NA,NA,0.4942246377402494,6.8,NA,NA,147318,857704,71083,362,24138,178,847280000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,847280000,24138000,0.028488811254839014,1,0
California,CA,06,2018,-0.797848394,620000,NA,NA,4278000,NA,NA,NA,6.9,NA,NA,80000,496000,NA,NA,17626,204,872712000,NA,6.4,5.4,NA,6.3,576625,125188,109835,701813,NA,3.9,3,3.7,375011,334150,872712000,17626000,0.020196812,1,0
California,CA,06,2019,-0.100754558,580000,NA,NA,4118000,NA,NA,NA,7.1,NA,NA,60000,384000,NA,NA,17574,204,840072000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840072000,17574000,0.020919635,1,0
California,CA,06,2020,-1.070938387,475000,NA,NA,3420000,NA,NA,NA,7.2,NA,NA,60000,468000,NA,NA,27724,189,646380000,2591709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,646380000,27724000,0.042891178563693184,1,0
California,CA,06,2021,-1.956153774,500000,NA,NA,3700000,NA,NA,NA,7.4,NA,NA,80000,536000,NA,NA,20749,241,891700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,891700000,20749000,0.023269037,1,0
California,CA,06,2022,-1.632566272,1383692,868823,514869,9135847,NA,NA,0.6279020186573313,7.2,NA,NA,118993,683609,65004,279,21347,346,1195776000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1195776000,21347000,0.017852006,1,0
California,CA,06,2023,-0.342616347,480000,NA,NA,3120000,NA,NA,NA,6.5,NA,NA,60000,438000,NA,NA,13176,254,792480000,NA,NA,NA,NA,NA,464654,148578,122691,613232,NA,3.8,2.8,3.6,360326,243839,792480000,13176000,0.016626287098728043,1,0
California,CA,06,2024,-1.51570197,480000,NA,NA,3168000,NA,NA,NA,6.6,NA,NA,50000,305000,NA,NA,13945,238,753984000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,753984000,13945000,0.018495087,1,0
California,CA,06,2025,-1.011343169,460000,NA,NA,3128000,NA,NA,NA,6.8,NA,NA,50000,375000,NA,NA,9824,237,741336000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741336000,9824000,0.013251751,1,0
Colorado,CO,08,2005,-0.238285683,800000,700000,100000,2960000,2860000,100000,0.875,3.7,4.1,1,NA,NA,NA,NA,0,101,298960000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298960000,0,0,1,0
Colorado,CO,08,2006,-0.800754494,780000,680000,100000,2964000,2839000,125000,0.8717948717948718,3.8,4.2,1.25,NA,NA,NA,NA,0,132,391248000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391248000,0,0,1,0
Colorado,CO,08,2007,-0.265052644,1681053,1407234,120000,5921865,2890000,144000,0.8371145942453926,3.7,4.15,1.2,22484,117509,20479,233,0,139,421726000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,421726000,0,0,1,0
Colorado,CO,08,2008,-0.372207619,820000,720000,100000,2706000,2605000,101000,0.8780487804878049,3.3,3.6,1,NA,NA,NA,NA,0,164,443784000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443784000,0,0,1,0
Colorado,CO,08,2009,0.273291542,850000,NA,NA,3315000,NA,NA,0,3.9,NA,NA,NA,NA,NA,NA,0,136,450840000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450840000,0,0,1,0
Colorado,CO,08,2010,-0.110089397,820000,NA,NA,2870000,NA,NA,0,3.5,NA,NA,NA,NA,NA,NA,0,128,367360000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367360000,0,0,1,0
Colorado,CO,08,2011,-0.30841375,800000,NA,NA,2880000,NA,NA,0,3.6,NA,NA,NA,NA,NA,NA,137,209,601920000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,601920000,137000,2.2760499734183944e-4,1,0
Colorado,CO,08,2012,-1.864448602,1334284,560868,773416,4092795,NA,NA,0.4203512895305647,3.3,NA,NA,22589,110927,20828,243,10,239,536316000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,536316000,10000,1.864572378970607e-5,1,0
Colorado,CO,08,2013,-0.312142191,650000,NA,NA,1885000,NA,NA,0,2.9,NA,NA,NA,NA,NA,NA,17,237,446745000,NA,3.2,4.1,2.1,3.7,282436,275953,70447,558389,14790,1.8,1.9,1.8,367958,181643,446745000,17000,3.805302801374386e-5,1,0
Colorado,CO,08,2014,-0.015143285,740000,NA,NA,2516000,NA,NA,0,3.4,NA,NA,NA,NA,NA,NA,25,207,520812000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520812000,25000,4.800196616053394e-5,1,0
Colorado,CO,08,2015,0.40587475,700000,NA,NA,2870000,NA,NA,0,4.1,NA,NA,NA,NA,NA,NA,46,179,513730000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,513730000,46000,8.95411986841337e-5,1,0
Colorado,CO,08,2016,-0.170287535,680000,NA,NA,2380000,NA,NA,0,3.5,NA,NA,NA,NA,NA,NA,34,151,359380000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359380000,34000,9.46073793755913e-5,1,0
Colorado,CO,08,2017,-0.198689432,1464249,659495,804754,5042530,NA,NA,0.4503981221773073,3.7,NA,NA,38763,231827,35989,490,29,171,455544000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455544000,29000,6.366015137944962e-5,1,0
Colorado,CO,08,2018,-1.288750055,730000,NA,NA,2482000,NA,NA,0,3.4,NA,NA,NA,NA,NA,NA,0,219,543558000,NA,3.7,4.6,NA,4.1,302673,290165,70336,592838,NA,1.7,1.9,1.8,385884,168049,543558000,0,0,1,0
Colorado,CO,08,2019,0.04755554,730000,NA,NA,2701000,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,22,231,623931000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623931000,22000,3.526030923291197e-5,1,0
